Cid,Locnum,Target
Z59FTQD,0,764
0JP29SK,0,840
0JP29SK,1,845
0JP29SK,2,850
0JP29SK,3,665
0JP29SK,4,669
0JP29SK,5,674
0JP29SK,6,678
R1ONHAU,0,652
D1CUMM9,0,840
D1CUMM9,1,844
D1CUMM9,2,850
D1CUMM9,3,665
D1CUMM9,4,669
D1CUMM9,5,673
D1CUMM9,6,677
D1CUMM9,7,683
X09I4HL,0,842
X09I4HL,1,655
X09I4HL,2,659
Q2TSRDZ,0,652
CNMKBT4,0,659
PYI9ZX7,0,840
PYI9ZX7,1,845
6IQQZPV,0,839
6IQQZPV,1,656
T29AM2E,0,651
9AFU2ON,0,841
J8FBC71,0,839
XW6J1A9,0,659
DKAIH7I,0,652
DKAIH7I,1,656
2RJN8OG,0,652
2RJN8OG,1,656
NR6VHLI,0,841
NR6VHLI,1,844
NR6VHLI,2,661
W2DE8PI,0,652
JJ8NAYO,0,651
JJ8NAYO,1,654
NVWV19X,0,842
NVWV19X,1,847
NVWV19X,2,660
P3MKVHT,0,841
P3MKVHT,1,656
L33JC81,0,841
L33JC81,1,656
WNL0YL7,0,652
IIY9Z4S,0,652
F2XQL53,0,840
F2XQL53,1,655
LFO7I30,0,841
LFO7I30,1,657
74LJP7I,0,842
74LJP7I,1,656
TC36V56,0,841
TC36V56,1,845
51NFXQ0,0,666
A9IWJXS,0,666
9CL2G65,0,840
9CL2G65,1,657
D5R0H8T,0,841
FG7DJSR,0,841
QWSBAVM,0,653
UKGD4KS,0,652
UKGD4KS,1,664
WZ5C8UT,0,841
WZ5C8UT,1,656
WZ5C8UT,2,659
3EG9JJ4,0,841
3EG9JJ4,1,656
OXRJYPB,0,839
8ZLH9BD,0,840
8ZLH9BD,1,656
VGC8YIW,0,842
VGC8YIW,1,658
T2Y95YW,0,764
T2Y95YW,1,769
MXLVXRO,0,841
MXLVXRO,1,845
MXLVXRO,2,661
MXLVXRO,3,664
MXLVXRO,4,668
MXLVXRO,5,675
SRA3NUM,0,651
43VST8E,0,651
JQG4J5Q,0,651
0CCGB7B,0,481
0VQISQ9,0,660
I9S4QZ7,0,651
0RPAUSQ,0,651
A47L264,0,659
6F83GF8,0,840
6F83GF8,1,657
8R1YW3R,0,651
8R1YW3R,1,658
QUCJJJ5,0,652
PYI4XOK,0,652
O61813E,0,843
VVH12KZ,0,651
U5LBLFV,0,840
2SKUCCS,0,841
2SKUCCS,1,655
2SKUCCS,2,659
YPWRH6U,0,651
AMP3OIS,0,839
AMP3OIS,1,844
T09YRKV,0,652
T09YRKV,1,656
C69CJXA,0,841
C69CJXA,1,656
M9WHBTL,0,652
M9WHBTL,1,655
Z8KR6AK,0,651
F4C08VF,0,652
F4C08VF,1,769
QXQU7N9,0,653
BYRWTC5,0,665
BYRWTC5,1,670
S27MUQX,0,650
AQLE8AZ,0,651
1O09K07,0,841
1O09K07,1,655
HP9NAIF,0,842
HP9NAIF,1,655
ICY0AI1,0,652
70LDP1B,0,653
I4QPFVX,0,653
I4QPFVX,1,656
L9S9129,0,653
5NF1OZ0,0,651
LXVA0XB,0,660
3X52VXU,0,651
97U9RMZ,0,842
HVBU0WK,0,842
G8HLMDS,0,841
G8HLMDS,1,657
XCTXOWZ,0,839
XCTXOWZ,1,846
XCTXOWZ,2,661
XCTXOWZ,3,665
JZRY3N2,0,653
JZRY3N2,1,656
W565EQE,0,651
HE7SRMQ,0,839
HE7SRMQ,1,655
DX95M6O,0,653
QE4U9HO,0,840
QE4U9HO,1,655
1JP9U99,0,840
1JP9U99,1,658
IIVKHMI,0,653
ES2BE16,0,652
CN1Y9SJ,0,653
P29KA5G,0,652
YT8JHEB,0,843
YT8JHEB,1,844
YT8JHEB,2,849
YT8JHEB,3,664
YT8JHEB,4,669
YT8JHEB,5,674
YT8JHEB,6,679
LH68EQ4,0,652
U86I0Y1,0,841
U86I0Y1,1,657
P56NF8B,0,651
0LUUAJP,0,653
0LUUAJP,1,664
K9ZGYQK,0,841
K9ZGYQK,1,656
QNEW1DA,0,651
UY4GLO5,0,651
RXJUM3Y,0,651
2UEAPTQ,0,841
QVYBKKA,0,651
3L87ZG8,0,653
BC5CUED,0,841
RL8YQEE,0,652
6BWZ72B,0,652
QMJHXWQ,0,842
H3IQVEF,0,842
OWNIQXW,0,839
OWNIQXW,1,845
OWNIQXW,2,661
OWNIQXW,3,666
WDILPFY,0,840
WDILPFY,1,845
WDILPFY,2,661
WDILPFY,3,665
WDILPFY,4,677
4KNKKGP,0,839
4KNKKGP,1,657
4KNKKGP,2,661
WBVJN0Z,0,651
ZT0AMUF,0,841
R67URIQ,0,653
Q36ELRI,0,654
1O8WP8E,0,651
7ILG5EQ,0,842
7ILG5EQ,1,657
0MV5ZN6,0,842
0MV5ZN6,1,657
0MV5ZN6,2,661
21D3ET9,0,651
21D3ET9,1,656
QTRQN3K,0,652
BX5KIBA,0,841
BX5KIBA,1,656
BX5KIBA,2,659
BX5KIBA,3,664
BX5KIBA,4,669
G65V81S,0,651
ST490ZN,0,839
ST490ZN,1,655
64BW9V9,0,840
64BW9V9,1,656
64BW9V9,2,661
YQ3X5KU,0,652
M4NPPHS,0,840
M4NPPHS,1,656
M4NPPHS,2,661
M4NPPHS,3,664
BZ0KR66,0,652
25DQNUP,0,841
KZJ1C5H,0,651
3J0KGQG,0,651
33R4AOT,0,652
DNMSE6N,0,653
XXNRB1T,0,653
C5APCV4,0,841
C5APCV4,1,657
TBMRZRA,0,840
TBMRZRA,1,656
7H81U7F,0,841
7H81U7F,1,658
7H81U7F,2,661
7H81U7F,3,665
RLDH7WR,0,652
RLDH7WR,1,656
DFH672I,0,840
DFH672I,1,657
L2V3QPU,0,839
L2V3QPU,1,655
PIVO71T,0,693
QE8CLLS,0,840
QE8CLLS,1,845
QE8CLLS,2,849
QE8CLLS,3,665
QE8CLLS,4,668
QE8CLLS,5,675
4HPTCMF,0,842
4HPTCMF,1,656
2E6SPW2,0,841
4JJN9KJ,0,840
4JJN9KJ,1,657
RYCPIF4,0,654
P44Y3NM,0,840
PG6SP38,0,651
F730GTD,0,839
F730GTD,1,845
F730GTD,2,658
F730GTD,3,664
Z6ABJ44,0,840
Z6ABJ44,1,658
6MSI23Z,0,651
383C5T3,0,652
YZ6Q7MP,0,842
YZ6Q7MP,1,655
16K1NOO,0,841
16K1NOO,1,657
UQM5MXW,0,841
UQM5MXW,1,657
P6HDYKZ,0,653
O6E90KV,0,652
O6E90KV,1,658
4D9JPFJ,0,651
4D9JPFJ,1,656
4D9JPFJ,2,660
Z88IXKB,0,652
PEU5F28,0,840
PEU5F28,1,658
PEU5F28,2,662
HKQJSHU,0,651
OPUO1NU,0,840
OPUO1NU,1,656
FP8RX12,0,840
BS0JMN5,0,651
CBVNI67,0,649
9O1ICB3,0,653
15RC9K7,0,843
5FG95LS,0,651
5FG95LS,1,656
Y985H9V,0,840
Y985H9V,1,656
TEWGN1H,0,840
SSZAHF0,0,665
QTPRJXE,0,652
DKDYM0T,0,651
AEN6MKA,0,840
AEN6MKA,1,656
BLRXJ6H,0,651
1KII1PG,0,839
98M870X,0,841
98M870X,1,656
98M870X,2,660
98M870X,3,663
CKP06BI,0,840
RZ3NQPE,0,841
RZ3NQPE,1,656
42Q97GD,0,841
42Q97GD,1,656
BWLHPCE,0,840
BWLHPCE,1,845
BWLHPCE,2,659
BWLHPCE,3,663
6JSFXLT,0,650
WYFA150,0,652
IJUIVCB,0,652
8ZCCJWB,0,653
AR7W37R,0,841
AR7W37R,1,656
NART0C4,0,651
U8YEOSJ,0,651
0GWP61B,0,653
LB3CSVE,0,652
F4E7SXS,0,839
F4E7SXS,1,656
VX6EMPA,0,651
S9ESEEK,0,653
K1W5BWM,0,842
K1W5BWM,1,847
K1W5BWM,2,662
K1W5BWM,3,665
