CID,Frequency
TCHWPBT,2
ZGFSYCZ,41
S2ALZFL,6
952DBJQ,4
1IX6FXS,21
IL9MJSW,59
EZTXK46,26
A79YCES,0
Y39V6UD,48
XRPTQNV,12
8OSXJI8,10
FYTKIIM,10
FJ8AF4X,23
E1L5EUE,9
9VJZUWB,17
VTHMCR3,68
THHIBW2,2
ICN6274,24
O49LK57,19
EIA3K80,4
B2JXGRT,4
XG4SHUG,5
U3SMK7L,2
QRM5VZ4,1
6IP4MC6,75
8C49O40,5
H3XVQII,2
S7Y6MPR,5
4LBD81K,1
X282CGD,8
8D68B9A,1
L7LCJ6I,2
YH9F4ZX,5
Q4ENL8Z,0
PMTKV28,11
9FS28PB,3
7K4HQC6,0
BS5WCTE,2
VQIP8S1,5
68XS3L6,6
AW7YVW3,13
ZDP0JV6,33
69HI4N8,3
64WEP9L,5
EE6DB8A,2
BSYAJH7,0
Q0AC0E1,9
N8LDBN0,0
RK729MG,22
X2DX17F,33
NDYLK9A,19
NL77W34,0
JA8NVJ2,0
BSJPPS7,3
3ISHF8M,30
Q3IYJX0,13
09Z9QF9,8
BROQAX6,20
E9QLAHC,5
XCPFGA9,0
VGAYR39,15
ZW3GSK3,16
SMSZ1HJ,7
EI5BHI8,7
J3W8CE1,12
JXNJKYC,25
QZNR6PF,16
HDEPQ9O,5
NDODUQW,5
H6O4R86,7
C2VNC3Z,6
IKMK980,2
N20NE9Z,44
HH8JUK3,3
6YT13BS,55
436H5RZ,4
7NGMW1A,46
309N6DD,8
COMQ74L,2
KF9OBAC,4
OM4LWMM,5
6QHK8GD,36
P9L79BG,0
RCBQXNX,3
P8FBGL6,22
NZWUHNA,6
CIVPXLC,17
X02L5G7,1
GH8JZZC,3
CL2MLEH,25
BBJ3LU6,26
VNFCJZS,12
7K92VJR,0
6MIH95A,8
LZV17OZ,4
ZMD2BCF,7
KMX3P90,1
21PLDLP,6
TCPPV08,1
D5CW6XN,8
TNUERF8,2
3JH0AKZ,10
BBZ26N2,36
9XB689V,2
LYUH1JP,37
NBIFJN3,0
6WAXZAK,4
NOEGL69,2
OL1RW8I,10
JHLR9GG,71
4NRQUH5,2
VQG9HWA,0
R5VAHM9,13
J3742VA,2
5G6U9FA,5
4YP9UQV,10
LSPMIA5,35
X2SRCVC,35
DU64UUG,2
UT3CHV1,1
6RNCMHE,1
CFY1OSM,9
I8CFQCO,2
SYW8J2T,20
TLZI5DG,8
AQVJ0U6,2
FDMXQWB,2
JIB0U73,37
YLURF01,0
1ZFIZA1,4
N0WZSNI,3
XIHMYYC,2
XB62AZK,0
VVWXIRR,1
RR3GR55,6
TI2FHS7,78
0ZOSDTW,4
D1AH556,7
P5P5CXP,0
W34AAST,11
D6N33XL,8
AL4FP9X,10
PD0GPM8,3
XHVKVAR,40
RI75J74,3
SSABC5J,10
FT64I8W,26
S0NZ4TA,3
MH262ZJ,0
FRRFECM,20
891G0JF,26
VWRGN6D,1
CZCMWPJ,0
2ZNW19E,7
CQ8P71R,1
W2S062E,5
HX76ORD,107
NW957ZB,7
4CTHIMV,1
BMY0NZ2,7
RDP3X9Z,4
KQP9O7O,1
EUNDPJB,15
QAEWDCD,2
AGRZ6M3,1
RBUY6FK,1
K9RCLBK,3
QGBNXVF,12
EZHVFWU,1
U4Z0FJX,5
7M90ED1,2
4339YRR,1
JARQ61W,2
BUD7HTQ,2
S5FNJFK,0
CYLZB6T,1
Q10HECU,3
LB088QT,3
A0FHSXX,3
MBW1T33,1
XY01EGK,5
DLB9U50,2
5SZQ6LD,0
I30Q3IC,8
6HSEKYJ,0
1Z39OE6,41
JNVC68C,47
R2L69T4,14
E37GRO6,9
APG9SH3,27
GSY07AM,14
5WTM0J7,6
U7U874K,49
1PNN772,6
7N44YW4,9
GEKXYMM,1
U9B8HZV,2
8POCKLJ,2
UV35OAK,5
LNYJ1D5,2
L3EQF9E,4
WZCB5GV,1
24Z5I38,52
VJPJA98,16
CIP0JCS,10
PQJ0TSZ,1
7JQSUQD,13
K4C6IG4,4
KKL42CS,0
R61TENG,3
QPOVXIO,2
JF2B2KU,32
JJBKVJ2,8
5COK58C,21
OJQGBV5,0
3PJ51PB,28
SYDMVYY,24
KOYT56F,1
7CXH2E3,4
LAQ2YKZ,0
4O489W4,3
R8IVQ28,9
BUDJT0F,16
DT7V47J,10
9NYYQ1C,4
0D3N7RS,16
NM5WXIK,27
AJMGQ25,9
1R6GX5R,12
LTO3B6B,1
2VHP9CX,5
D9RC4RF,3
2EUUV4F,1
LE9EO0W,1
YWUO19K,75
UPKWQU3,1
ABWX483,17
ATKRCQW,8
VGJFIGM,7
OBOA0ZQ,2
RV9HRH7,11
CBGECFD,3
KLP06F8,0
R9RKBGG,8
SIEQP7L,4
I1HTADB,6
9QL4EZK,15
CI4VWXX,1
07SK0NA,5
W6G7NG0,17
RSF8SH2,0
L8XDZK4,2
L0MSG6P,2
EQ4MMC5,22
8T2Z09Y,2
G5BQPQ8,2
J3CO5UH,6
KZ5AP3A,2
9IO2H41,13
64RPH9S,0
3QSWZII,0
0JKB7JF,7
019RCXR,0
DMLXARO,0
MAC27U8,21
HHHNDWX,13
EZFGFKW,0
29MW672,5
A7ZKLSO,79
1B1UIYH,52
KBBDWZ2,1
YYDJO9X,1
V0V4WOW,2
BQ8MYQJ,6
8XHC09O,6
IZF82IN,6
AKPA7G4,1
IKBMGML,1
EGXND5F,1
U0W7P2T,2
QY5I838,10
BMOQI6Y,20
FJ4MIOO,7
DPAY9SO,5
UPE7I5J,8
Z09D4RI,7
3MOB7K0,12
ERNG4ES,4
J7QM9B3,18
AATK5QM,1
HXTPGTX,0
WO7TE32,7
Y1V9G8F,3
ZQOMOVH,2
69WYWEC,6
WWL7JET,8
XKXZTH0,2
EAUCO1M,37
S1P5AUN,8
MNXSPGK,6
CV5XZ5P,2
FUKCTCF,1
GE12MDY,1
MZ60652,4
J0BD1KL,0
LPBOB38,0
5NHAOL8,14
REACNSC,11
N60ECSB,5
5D8KL6H,17
3Q4ZI86,19
V8QGZ3V,16
6LKNTQG,41
KMSD50M,1
FAFY803,1
I8G2PHG,3
2P3IH0X,2
RRCJ5Q3,16
PVY5BS5,1
GN25E72,8
U724OEL,1
PVB0EKV,4
F8DYBOH,4
X4H22QR,6
RP6W00K,8
KKS6VJO,10
P4WDEP3,6
90OA8FT,14
CSGUKZ8,93
T4T3XCP,22
6D85YO1,1
C4OX2I1,7
CAIKI88,9
DTP9C22,4
C8BADFX,0
B0IMDSR,8
44YXQ6J,7
C0UCF8C,11
95Q6A4D,2
456MXLM,1
K3WSGUM,72
DBPQSQY,6
BRTO1KT,45
72K2FSG,30
YE2EIJL,2
96RV9KI,10
N2PNGFL,0
EO0BN2J,12
H7Q7Q5R,4
Z22L6MK,13
B6G76MS,3
MVXAYNL,1
59HM5MO,2
D3W82YY,3
ZI8EBAY,3
ZZV76GY,10
TNV571A,2
8WYOTVA,9
BHNNKO3,1
289WE3C,1
Y28RHNU,6
GVS9D3L,4
04M5T56,4
6DS9BY0,23
BUIAFFT,109
IVRFSLY,33
M15WUR8,2
A3LEHCR,7
HKR3YIQ,30
JU8MM2A,9
MHG84TR,6
AF9UQD1,26
H9HFTE5,1
XXC3CE7,1
9AO6E85,0
DC0DDD3,13
AOW0DAV,7
28IKEN8,16
VZS3CRP,1
PEZZ105,13
8CAR5J8,4
MEWDPWH,16
QNXWTU8,2
ED5PU95,2
DQBLSTX,1
QFWLNUK,6
ISXVCFI,13
NRSDAY3,4
1BITAMA,2
Y2XCCTV,0
LCWZGB4,8
5856BOM,1
PNMR3C9,1
FV6T2JP,1
PNQM5NC,0
F96E2OG,1
6A79SJT,1
CAK8GFA,0
UWD5MXH,1
I0U8GE7,0
6D2L58A,1
1D3HNAE,15
8PBQKLH,61
7MWBR4X,4
O9R55AO,2
3UPWKFR,5
OARBOK9,11
KUOZ86Q,1
1P5RQ9H,107
6FW2YQB,9
6WCL1KT,2
AVBGQG6,2
1HLSHAP,5
EB8AYOL,4
UOD3O4W,23
ZI1SSGU,6
7PPBZOH,0
2EKW5I5,2
4WA4ETZ,13
9S442EK,1
3WBL5YL,7
C7GSH26,5
YVBDU2H,14
HGFWQCD,10
CMJRI0T,0
X71XDMI,15
4ABZZJG,17
M902C0Y,48
G5NQTUH,0
1PY2ZQK,9
IEP6ZXV,5
JBMPVUQ,6
2L7LJUK,16
ANAUZO1,50
BANLMK1,18
6UKK89C,39
ERER3MP,28
M9CURTF,17
SLS50UJ,1
ETQS9BS,12
8E4AQQD,2
BXDEYKL,0
KGWDU3W,3
GUWF8XE,1
HNOGP9K,2
3L8C1TG,1
R8G1BTF,4
M2AG46T,11
QNBTVMW,14
CJ1ZCAP,4
MWZ52D1,1
GRPWMDA,9
UDFYFD9,2
ONQQLXA,9
AX98XE0,17
J3V8TCS,0
QLNUI69,8
SDJACXQ,0
1ZLQALG,1
EGXN694,0
0WU0PF5,8
7UIX240,12
ZUK9UHX,0
EBUD0MX,1
P1578VM,5
A0CQVH6,7
3AYQ7LI,4
IYM8Y0T,11
QX4SASZ,17
PLW3RCJ,1
JY68BSO,1
0W2IBUD,1
2P7WT28,6
RDL2GFF,1
3VDWBT7,2
CRQ74M6,23
X8G4ZLL,7
VKTEDXY,11
5NSEHD1,5
51Y178V,2
M3V1TPR,26
44DHJSU,16
BLZX825,0
UACSN8Z,15
YZ057ID,2
THLAYUV,4
17Y9LM3,0
F5ZKRH8,1
LUQ0N0Q,6
57UQ2N4,16
3Y9E17C,0
SDJHSLI,0
REUQVIK,8
JU17CHG,19
F8G6NOV,9
CX546I5,6
2RVQCTC,35
9WGMQXH,6
R3EN1FZ,12
1PZD2PL,0
2KTZSHK,13
O64FAFQ,4
KEGXTDU,4
NMNBY5W,10
FSEEV8G,2
CADIASO,5
WZ4JW5A,8
QH6WROW,8
JNVKBOG,2
773ZT4T,4
DB0ZIXZ,2
9S7QZQF,5
6QO0ZQK,1
QPRKUZD,16
DZKFILP,2
X0Q633D,3
00Z2BPR,2
TDL2GFR,11
UUSIM9V,1
B4A2FNT,10
N52Z23T,6
KR2INRW,19
7P6FL6H,4
VBS8O1A,2
P56P3ZA,14
9CU0DDX,2
J5D7TAG,3
07OUDRP,2
P2C3W96,10
P22KXPO,16
VEL60S1,5
DB481RZ,2
5K75FZN,4
C29PYN4,0
Y1242W5,2
9B5JN2N,4
DY94U9X,8
TGF46AC,6
VFO890C,0
4AZYXN6,16
GAI66EH,2
XMPYY3P,8
3P6B4EE,1
T4ZLW8K,1
U32V7GH,6
SGPIO7D,1
236UXP3,4
9YEQRFJ,1
UHAQDJB,2
A28TUL7,6
EMCPAVG,2
6AO3I3W,1
OTPKHZE,4
4HPFJUI,4
B0V9CKN,1
XHIXYB2,5
82YRZH1,1
BQG3CJO,40
0XCUORA,7
GIGJ6AM,2
I3VDRPI,1
HDKUEUV,1
X9YDOK7,1
2ETXGFB,10
Y06BGCR,37
M525AJ9,2
37SO8LJ,2
Y1PC9L2,14
8QN0KVF,11
4N052QL,9
HG7RC2N,4
40EB8TC,1
24QJ0WF,1
VJO4S5N,21
CI0XUOV,1
0FYZ6FD,1
TO5KEGY,14
5BVAQCD,2
HFWDZNT,7
DFB1R40,3
QK6SMBQ,7
280OOP5,3
HJZIPX9,7
NK0FJ3R,35
OJG67D8,6
0LR2T7M,0
IFPQAOO,1
PCJEC7E,0
5L1O2QS,0
FAA8E6N,12
G57UV96,0
Z4OR9CP,3
4Q7OSJA,50
3JXVT5Z,6
IYFZ8VK,3
2RTIFXW,1
MZJQQQL,9
E2AAI2Z,4
AZ5I9DP,6
WHD5ZK9,2
8MVEO6C,3
D7RG9J9,1
VTN038M,1
1HLKBB6,2
0DDLFSF,2
2FHAALT,1
L026PSZ,0
N3P13B0,1
WT73FX4,20
NXSRLBP,0
72UYIUA,13
NRS5UX2,1
7I5ZONE,1
C9HTZNX,2
DRWH41E,2
GMH57XX,3
A5UUL9W,0
6JWIQSN,16
7123NQU,1
VHQNXVJ,1
75Q88S4,0
F5U3NNZ,0
5Y6HWET,38
HV3Y7P3,18
OKJGLHK,1
26AKXUO,0
11MG3HH,4
YNY08AT,4
U45TXNL,5
OR259IU,2
1RZVQ8R,0
C6XHXOL,2
HNS25BF,7
Y42TGBJ,3
JO5H7D4,2
0403E0I,7
88WTEML,9
NYQZBN9,1
199O26M,0
FEJ75T7,4
NP85PDQ,5
4WJSDGZ,2
PCNNC30,5
P153G3A,1
G6QR7RJ,1
S3N88O4,2
TEJNYQA,7
QY3XZ3X,0
2L2AZM0,2
RQOWP6Y,2
PZFFE5T,14
Z1EVMAB,4
59EZIQ2,20
X55ZQVR,2
H2L6NRG,11
ELGG7DE,0
HQVSQCJ,25
WKYG878,1
ETIISUZ,0
3X0A9IZ,16
ZXCONDE,25
PA4C9GR,2
9UGIJP2,4
LNV9YEM,12
ZG0O4Y9,19
6EN2UAJ,2
W76KG9F,1
009UFS1,4
H4GD2SY,4
EEWWR2C,23
J9ME8QS,0
ST2JADJ,12
EWV4WTF,0
NUBDDLE,1
S4Z8POS,3
XLY66TR,1
6ENIFQT,3
757B1V7,20
QAQ7JMD,18
0WID5QE,51
BDVJ9OT,0
CNAV9HI,7
SMJMK3X,2
9B4SZXQ,4
5JRNFFM,5
9OXZ4P8,7
3J0IY1G,39
7L25L1S,6
ZF9UW3X,9
PP37XJZ,23
4U4TX6F,9
2PBUGMF,2
ZRFUD34,2
OKLZX3I,2
LI8MIJZ,4
UKKZ6Y5,3
AIM9QM2,6
UKI91T4,4
