custs_ids,custs_status,custs_verified,date_features_cted,date_features_uted
TCHWPBT,1,1,0.0,0.0
ZGFSYCZ,1,1,146899.0,146898.0
S2ALZFL,0,1,3021320.0,3021319.0
952DBJQ,1,1,3112244.0,3112244.0
1IX6FXS,1,1,3112838.0,3112838.0
IL9MJSW,1,1,3193537.0,3193537.0
EZTXK46,1,1,3205796.0,66793510.0
A79YCES,1,1,3706303.0,3706303.0
Y39V6UD,1,1,3717571.0,3717570.0
XRPTQNV,1,1,3946807.0,3946807.0
8OSXJI8,1,1,4417909.0,4417908.0
FYTKIIM,1,1,6643403.0,6643403.0
FJ8AF4X,1,1,6643409.0,6643408.0
E1L5EUE,1,1,6650561.0,6650561.0
9VJZUWB,1,1,7018888.0,56503105.0
VTHMCR3,1,1,7019594.0,7019593.0
THHIBW2,1,1,7019817.0,7019817.0
ICN6274,1,1,7089882.0,7089881.0
O49LK57,1,1,7089939.0,7089939.0
EIA3K80,1,1,7344951.0,7344950.0
B2JXGRT,1,1,7357954.0,7357953.0
XG4SHUG,1,1,7382856.0,7382855.0
U3SMK7L,1,1,7415135.0,64358551.0
QRM5VZ4,1,1,7435474.0,7435474.0
6IP4MC6,1,1,7435724.0,7435723.0
8C49O40,1,1,7514886.0,7514885.0
H3XVQII,1,1,7532200.0,7532199.0
S7Y6MPR,1,1,7532334.0,7532334.0
4LBD81K,1,1,7535269.0,60884684.0
X282CGD,1,1,7535603.0,7535603.0
8D68B9A,1,1,7536026.0,58871033.0
L7LCJ6I,1,1,7593063.0,7593062.0
YH9F4ZX,1,1,7593979.0,7593979.0
Q4ENL8Z,1,1,7610698.0,7610697.0
PMTKV28,1,1,7610738.0,7610738.0
9FS28PB,1,1,7610773.0,7610773.0
7K4HQC6,1,1,7615121.0,7615121.0
BS5WCTE,1,1,7635954.0,7635954.0
VQIP8S1,1,1,7702894.0,7702893.0
68XS3L6,1,1,7706458.0,7706458.0
AW7YVW3,1,1,7749211.0,67226171.0
ZDP0JV6,1,1,7771485.0,7771485.0
69HI4N8,1,1,7771487.0,7771487.0
64WEP9L,1,1,7844862.0,7844862.0
EE6DB8A,1,1,7851142.0,7851142.0
BSYAJH7,1,1,7873025.0,7873024.0
Q0AC0E1,1,1,7930659.0,61744967.0
N8LDBN0,1,1,7934245.0,7934245.0
RK729MG,1,1,7934247.0,7934247.0
X2DX17F,1,1,7934250.0,7934249.0
NDYLK9A,1,1,7940067.0,7940066.0
NL77W34,1,1,8049195.0,8049194.0
JA8NVJ2,1,1,8050556.0,8050555.0
