Cid,Locnum,Loctype,Clatitude,Clongitude,Vid
02SFNJH,1.0,2.0,1.679136545,0.766823305,192.0
J5B49B8,0.0,3.0,-0.502072921,0.109237335,148.0
8S4TR8P,3.0,3.0,-0.406649334,0.633192282,20.0
WEW8WR3,1.0,1.0,-0.896720908,0.146054616,83.0
2KH6OSP,2.0,2.0,-0.032447866,0.619995093,104.0
3H2T1BZ,2.0,4.0,-0.603637899,0.737299051,4.0
9NUOTF0,2.0,2.0,0.000871154,0.487387273,303.0
7SI55PG,0.0,2.0,-0.126855769,0.602840295,676.0
P8K43OP,0.0,2.0,-0.444616554,0.089432574,148.0
IHVLOYG,1.0,1.0,-1.269978453,0.088583217,843.0
BWXS6P5,0.0,2.0,0.035807342,0.62929648,547.0
476VE6Z,0.0,3.0,-0.778926637,0.231924928,577.0
6QBK6AC,0.0,2.0,0.61189539,0.541608819,79.0
OVXWFT1,2.0,1.0,0.594834777,0.510696555,79.0
OVXWFT1,3.0,2.0,-0.390748973,0.643169291,20.0
2HCXH0Y,0.0,1.0,0.644336538,0.563725455,79.0
6YA9PQX,0.0,1.0,-0.615344796,0.748608674,4.0
6CZCAST,1.0,1.0,-0.434852274,0.734251052,13.0
VE588ND,1.0,4.0,-0.123343997,0.606028436,676.0
EGR2GT8,1.0,3.0,-0.866721466,0.103570665,154.0
QZNR6PF,5.0,2.0,-0.435217282,0.645123799,20.0
MNS1CJH,1.0,2.0,0.010186521,0.526299653,110.0
U7L8BJO,0.0,1.0,-0.556749355,0.088142523,583.0
V6EL9F1,2.0,2.0,0.545309131,0.530497915,115.0
PK5TN1O,0.0,1.0,-0.713254247,0.216148742,577.0
JXBQHP2,0.0,2.0,-0.140507803,0.17478397,845.0
73HQF80,1.0,3.0,0.008151457,0.511559649,110.0
7VI98XM,0.0,2.0,-0.609112914,0.076058867,90.0
LE9EO0W,0.0,2.0,-0.626200086,0.083106526,90.0
V8I75C0,0.0,2.0,0.642451511,0.562687019,79.0
OJFHOEB,0.0,1.0,0.558876093,0.532489748,115.0
B2W1CSC,0.0,2.0,-0.493656438,0.731378916,13.0
WBT9QIJ,1.0,2.0,2.241479236,0.681208258,243.0
E7SRN2L,0.0,1.0,-0.725827658,0.221898133,577.0
574RWOT,0.0,4.0,-0.831403714,0.113986978,154.0
UOXLYXB,2.0,1.0,-0.489377637,0.736728891,13.0
UOXLYXB,5.0,4.0,-0.590823599,0.790973486,4.0
UIXCKU6,1.0,2.0,-0.682156606,0.090147322,81.0
DXYCEN0,0.0,4.0,-0.576886538,0.767657273,4.0
YAS5TAD,0.0,2.0,-0.815917725,0.168788283,299.0
IX6CANF,1.0,4.0,0.591174177,0.558897637,106.0
YSELJ7M,0.0,1.0,-0.023280875,0.65314528,104.0
0M94LCK,0.0,3.0,-0.859342091,-0.100034133,161.0
V20V03R,1.0,3.0,0.659526838,0.550570381,79.0
W81HMSB,1.0,1.0,0.666808018,0.525631387,79.0
T3T43MY,4.0,1.0,-0.97506032,0.110935966,84.0
88VQCRS,0.0,1.0,0.047052692,0.579984364,110.0
CCXMOTE,1.0,1.0,-0.054648119,0.525609494,149.0
QQU072B,3.0,4.0,0.218283052,0.568073169,76.0
EHM46SC,0.0,2.0,-0.751551923,0.229490455,577.0
EHM46SC,3.0,4.0,-0.480544012,0.07233721,86.0
ZPNWAZ5,2.0,1.0,-0.836349967,0.087957258,154.0
B0OB1EK,1.0,3.0,-0.30557346,0.691973304,271.0
4HG38LJ,1.0,2.0,-0.993365885,0.092292327,84.0
WKIDS1B,1.0,2.0,0.223604792,0.506960317,856.0
R4V2WZT,0.0,1.0,0.011253959,0.578934392,110.0
WA2XCTU,1.0,2.0,-0.894334597,0.078838611,44.0
L3AJX0Q,0.0,2.0,0.020243371,0.447858756,303.0
PIIBNWB,1.0,2.0,-0.628985261,0.162639354,197.0
OK4NKVY,1.0,1.0,-0.002115635,0.474313566,303.0
C6BBT6E,0.0,2.0,0.61625715,0.541557765,79.0
CD57JJJ,2.0,2.0,-0.428860508,0.737219628,13.0
35LY35U,0.0,2.0,0.314184902,0.557893898,274.0
GEECTFW,1.0,2.0,-0.897995954,-0.138827542,161.0
RR3GR55,3.0,2.0,0.0259963,0.447072408,303.0
JYZK7M3,1.0,2.0,0.048818546,0.573361655,110.0
TSZECKS,1.0,1.0,-0.415999176,0.134966882,846.0
80E8OC8,0.0,2.0,-0.456881045,0.068116632,86.0
M3V1TPR,3.0,2.0,0.037892729,0.632030697,547.0
0SURXT9,0.0,1.0,-0.123973077,0.598568864,676.0
0SURXT9,2.0,3.0,-0.103071662,0.564328321,43.0
AUVVJPV,2.0,4.0,0.287253512,0.484273648,856.0
XFQVCSZ,0.0,1.0,0.043333462,0.488079682,303.0
KCKLW82,2.0,2.0,-0.620924595,0.753719183,4.0
19ZWEMW,2.0,1.0,-0.967489004,0.089550625,44.0
TPBM9IW,0.0,1.0,2.222143995,0.718405254,243.0
EAM7NGA,0.0,2.0,-0.626273793,0.754995309,4.0
14R1IAU,3.0,2.0,-0.648095951,0.733753853,391.0
14R1IAU,4.0,1.0,-0.361342984,0.692316581,271.0
4ZRLIZW,0.0,1.0,-0.970977949,-0.061217,459.0
YW3J3MM,3.0,2.0,-0.502269808,0.698246682,841.0
BU1A9QV,0.0,2.0,0.046851084,0.515194394,110.0
2WR7RK3,0.0,1.0,0.25921467,0.552379564,76.0
456MXLM,1.0,2.0,0.538153702,0.516082495,115.0
91OOARV,2.0,2.0,-0.496894229,0.090270454,86.0
6DS9BY0,3.0,2.0,-0.003567308,0.486540455,303.0
6DS9BY0,4.0,2.0,-0.009044231,0.462262045,303.0
NUAOD57,1.0,2.0,0.60393693,0.558832788,79.0
C709LVY,0.0,2.0,-0.629156573,0.064283817,90.0
8YWW7NO,0.0,1.0,0.655353752,0.521329947,79.0
JXN9DDP,3.0,2.0,-0.776418531,0.184935945,577.0
FI5SNDG,2.0,2.0,-1.622409681,-0.089941956,849.0
4U83RPA,0.0,3.0,-0.020154968,0.48726548,149.0
L80LX9I,0.0,1.0,0.304020075,0.544295816,274.0
5SV5FW3,1.0,2.0,-0.577939477,0.789961562,4.0
U5XVR7G,0.0,1.0,-0.191718713,0.471442375,67.0
HWWT72Y,0.0,2.0,0.615955728,0.541536429,79.0
4J1OO6T,1.0,3.0,-0.943971354,0.157996969,83.0
4J1OO6T,2.0,3.0,-0.628853846,0.163737273,197.0
4J1OO6T,3.0,2.0,0.003001393,0.483834646,303.0
PJMIRI5,0.0,1.0,-0.037696747,0.634867207,104.0
IBMRCN8,0.0,2.0,-0.908681957,0.075410412,44.0
38SRVQB,0.0,2.0,0.231712407,0.584225462,76.0
EQ17D7B,0.0,1.0,0.603947115,0.528089614,79.0
EQ17D7B,1.0,1.0,0.017423846,0.496573114,201.0
52ZOCY0,2.0,3.0,0.076496293,0.61752905,547.0
HFV6UDI,1.0,1.0,0.270518846,0.512690795,856.0
ZCHR8RT,0.0,2.0,-0.084246648,0.564957753,43.0
JIE7KR0,0.0,2.0,0.236605353,0.586528962,76.0
SRZPRI4,0.0,1.0,-1.275830934,0.088896772,843.0
0NMBJ9D,0.0,1.0,-0.752645084,0.229930913,577.0
OJ2LQ76,0.0,1.0,-0.666336038,0.725298357,391.0
NZCD7DS,2.0,2.0,-0.02651887,0.459162133,303.0
LDWDGQW,0.0,2.0,-0.764410976,0.103479501,300.0
Q7XQH9K,0.0,2.0,-0.550209741,0.186045438,78.0
RDND5NE,0.0,2.0,-0.954535074,0.040394631,105.0
XDSP3BY,0.0,1.0,-0.848657588,-0.076989351,193.0
B6BX370,1.0,1.0,-0.048853827,0.624005975,104.0
7E4ABWI,0.0,1.0,-0.054272092,0.606420742,134.0
8HHPQJH,2.0,2.0,-0.147940657,0.541379459,43.0
VQO9CZ8,1.0,1.0,-0.811426639,0.072681722,225.0
CDXXAYD,1.0,2.0,0.260607392,0.579070772,76.0
9DRWQME,0.0,1.0,0.669952336,0.554528379,79.0
U48QZ15,1.0,3.0,0.299608077,0.554488,274.0
U48QZ15,2.0,3.0,-0.343585385,0.686546818,271.0
6LS3HN0,2.0,2.0,-0.601086682,0.104280019,90.0
6LS3HN0,3.0,3.0,-1.557936927,-0.079348476,849.0
TNPSPEV,0.0,2.0,-0.829885651,0.118974973,189.0
I68V18V,0.0,2.0,0.614667294,0.541444228,79.0
KXWONMC,0.0,2.0,-0.599028996,0.755984374,4.0
6LKNTQG,1.0,2.0,-0.059735574,0.63623199,104.0
6LKNTQG,3.0,3.0,-0.003202083,0.547014501,110.0
S5LZHYM,0.0,3.0,0.280689571,0.571091782,76.0
T4W80Y9,0.0,1.0,-0.84298113,0.063781664,189.0
1F2XU4I,1.0,3.0,-0.117084046,0.560813835,43.0
1F2XU4I,3.0,3.0,0.642499178,0.566532478,79.0
3RN4FC7,0.0,1.0,0.022480707,0.551451376,110.0
7206BKH,1.0,2.0,-0.084211196,0.544790132,43.0
7OICNDQ,2.0,1.0,-0.729809606,0.216762827,577.0
Q0XWO4W,0.0,2.0,0.042503959,0.550753637,110.0
SJTVTGM,1.0,1.0,-0.179457831,0.482671425,67.0
RI1Z1CN,0.0,3.0,2.116638423,0.724539116,855.0
U2YKX62,0.0,2.0,-0.541803329,0.048788726,86.0
17LKKT7,4.0,2.0,-0.631086037,0.73706466,75.0
H7FGL3E,1.0,2.0,0.435989157,0.554650298,28.0
XW37IN9,0.0,1.0,-0.153825477,0.488188664,67.0
H46O7MQ,0.0,4.0,0.071237301,0.604051711,547.0
107HBA2,5.0,4.0,0.025423026,0.604804396,547.0
107HBA2,7.0,1.0,-0.097537276,0.574927461,43.0
107HBA2,9.0,1.0,-0.396176058,0.625444485,20.0
7BF4XGQ,1.0,1.0,-0.044195769,0.550273409,149.0
TMPN8IU,0.0,4.0,-0.059116298,0.622490832,104.0
891G0JF,4.0,2.0,-0.616407073,0.7400237,4.0
891G0JF,5.0,1.0,-0.623170774,0.198370669,197.0
88M1DS6,1.0,1.0,0.589009615,0.528827795,106.0
U0MTWLJ,0.0,2.0,0.65276512,0.55348709,79.0
TEO70N5,0.0,2.0,-0.464977771,0.078903767,86.0
WZNHTYB,0.0,2.0,-1.273333787,0.097093634,843.0
80Q0BWJ,0.0,1.0,0.2548775,0.560070136,76.0
5HDQXBC,0.0,2.0,0.036504591,0.470422839,303.0
LDMEH17,0.0,1.0,0.566643403,0.529276428,115.0
7RYDXRJ,0.0,1.0,-0.001057959,0.531043049,110.0
5OY9982,2.0,2.0,-0.435877983,0.074642796,846.0
5OY9982,3.0,2.0,-0.501841453,0.046915364,86.0
TPKOR77,0.0,2.0,-0.660709855,0.722050275,391.0
23AXGR6,1.0,2.0,0.071866005,0.643234281,547.0
LV7OJKH,1.0,1.0,0.212849833,0.573151444,76.0
DM9OK6K,0.0,2.0,-0.599579943,0.036123063,145.0
BKZNW9Q,0.0,2.0,-0.011871048,0.55329624,110.0
4SBR6HT,0.0,2.0,-0.930755113,0.158060549,83.0
GRE0RRQ,2.0,2.0,0.664644825,0.527460928,79.0
GRE0RRQ,3.0,2.0,0.303748406,0.554375219,274.0
GRBNVWF,0.0,2.0,-0.158363547,0.470914498,67.0
1N4MID9,3.0,2.0,-0.521990068,0.043553782,86.0
TJMXEIR,3.0,2.0,-0.093834641,0.637226556,134.0
TJMXEIR,4.0,1.0,0.571493319,0.501083841,115.0
4MXOM4M,1.0,2.0,0.062775665,0.551718156,157.0
E74OOUT,1.0,2.0,-0.437793659,0.05303808,419.0
N5MEAH3,0.0,4.0,0.533063279,0.530043441,578.0
20ZNKGP,0.0,3.0,-0.768736923,0.232520682,577.0
W5NMKSP,3.0,2.0,-0.044812278,0.527708575,149.0
Y2PDPYY,0.0,1.0,0.606534809,0.527559225,79.0
IZHFX34,1.0,1.0,-0.794335161,0.082224285,225.0
RTB87S4,1.0,3.0,-0.068724682,0.605945259,134.0
RTB87S4,2.0,2.0,0.586939662,0.528907919,106.0
AA65956,1.0,1.0,-0.729544897,0.099158878,81.0
AA65956,2.0,1.0,-0.455579625,0.099701257,148.0
R2Y264O,0.0,4.0,-0.405455849,0.124292585,846.0
FPUA12F,4.0,2.0,0.014432857,0.482733494,303.0
ALK6YIY,4.0,4.0,0.255921824,0.484188872,856.0
F6VX1Y7,0.0,2.0,-0.091171529,0.518980728,43.0
WWMAZK8,0.0,1.0,-0.737944462,0.232249187,577.0
9U9F7U3,0.0,4.0,-0.072597784,0.533625222,43.0
YN84R7V,1.0,1.0,0.642416049,0.551275439,79.0
YHBPLKZ,2.0,2.0,-0.563875994,0.781104875,4.0
E4L8YK0,0.0,2.0,0.600039478,0.558781814,106.0
6SYGW43,0.0,1.0,0.022801907,0.443058211,303.0
BITB49N,1.0,3.0,1.683601065,0.760934112,192.0
66JH7F6,0.0,2.0,-0.186888929,0.444302543,582.0
OD8QYWH,0.0,4.0,-0.588626663,0.722089074,4.0
OD8QYWH,1.0,4.0,-0.446149069,0.66613009,20.0
BDHW02I,2.0,2.0,0.037099151,0.632911864,547.0
JXV287F,0.0,2.0,-0.089527692,0.60588,134.0
JXV287F,1.0,1.0,-0.507480302,0.70700358,33.0
J05GCYA,1.0,1.0,-1.029252071,-0.070657204,459.0
CWH555L,0.0,2.0,-0.020119691,0.582648902,401.0
CKRU0MV,3.0,1.0,0.01278324,0.631173513,547.0
YCLCEOK,0.0,2.0,-0.540155126,0.177349595,78.0
SDYEPFV,0.0,2.0,-0.589518059,0.767824193,4.0
RUTEXDY,0.0,2.0,0.590630863,0.52809681,79.0
1BXK289,0.0,1.0,-0.59685117,0.792318467,4.0
Y9TDOML,0.0,2.0,-0.050514169,0.505381471,149.0
OQ27G1K,5.0,1.0,-0.897931782,-0.063281892,265.0
GS32LEP,0.0,2.0,-0.892915339,0.062796284,154.0
4VS1SAJ,0.0,1.0,-0.169890643,0.458471769,67.0
MHG84TR,3.0,2.0,-0.312361848,0.691565638,271.0
MHG84TR,4.0,2.0,-0.664133648,0.716296825,391.0
I1GVXLO,1.0,1.0,-0.601710956,0.080571378,90.0
G3H9JOO,0.0,4.0,0.00822375,0.579783779,110.0
72FGGO2,0.0,2.0,-0.120160824,0.52313978,43.0
459CLRI,1.0,2.0,-0.057168705,0.536818519,149.0
5V6EWC1,1.0,3.0,-1.075879178,0.082185001,180.0
GPISF6F,3.0,2.0,-0.865278712,0.104725543,154.0
P03OB3N,1.0,2.0,-0.905905817,0.081410331,44.0
EDEC3VL,1.0,2.0,-0.051922887,0.653064756,104.0
AAZJCZ7,0.0,1.0,-0.463151811,0.076377002,86.0
D627E3G,1.0,2.0,0.256927727,0.555015292,76.0
DJFAR3E,1.0,2.0,-0.381463808,0.645681424,20.0
DTZBMYV,1.0,2.0,-0.027301851,0.493756763,149.0
NOY8SF6,0.0,1.0,-0.473399023,0.032524786,86.0
EOFIMV1,0.0,1.0,0.035058025,0.614474135,547.0
ZD8S6JQ,0.0,2.0,-1.067088743,0.068194894,180.0
OJ5XHU8,1.0,2.0,-0.44918284,0.130836451,846.0
KQP9O7O,0.0,4.0,0.517068173,0.509993568,578.0
OOS1QBW,2.0,2.0,-1.07496111,0.092938334,180.0
FWY41NX,3.0,2.0,0.525494038,0.532423205,578.0
ABWFZGF,0.0,2.0,-0.62093946,0.757556362,4.0
T3XD6JB,2.0,2.0,-0.065270972,0.524704507,149.0
JMHRLHA,0.0,2.0,-0.200962626,0.444454941,582.0
JY7EJ5Q,0.0,4.0,-0.830345961,-0.058498952,193.0
